scorer,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000
bodyparts,nose,nose,nose,right ear,right ear,right ear,left ear,left ear,left ear,tail,tail,tail
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,480.4046325683594,3.07475209236145,7.140636444091797e-05,-2.854948043823242,-8.217447280883789,9.566545486450195e-06,476.6344299316406,3.987253427505493,4.023313522338867e-06,0.2471466064453125,0.9556961059570312,1.0341405868530273e-05
1,480.33721923828125,3.1161139011383057,7.072091102600098e-05,-2.4205732345581055,-8.011408805847168,1.1235475540161133e-05,476.6218566894531,3.907792091369629,3.725290298461914e-06,0.19101452827453613,0.5788538455963135,8.761882781982422e-06
2,480.3515625,3.102501153945923,6.258487701416016e-05,-2.8110146522521973,-8.179359436035156,1.1444091796875e-05,-0.12904596328735352,-1.961639404296875,3.3974647521972656e-06,0.15778779983520508,0.8992571830749512,1.3440847396850586e-05
3,480.37139892578125,3.016718864440918,5.9276819229125977e-05,-2.6967716217041016,-7.995220184326172,1.150369644165039e-05,-0.15943336486816406,-2.2743797302246094,3.337860107421875e-06,0.18310022354125977,0.8159055709838867,1.0818243026733398e-05
4,480.5113830566406,2.9412169456481934,5.745887756347656e-05,-2.098680019378662,-7.530081748962402,1.5407800674438477e-05,476.5222473144531,3.8008644580841064,3.606081008911133e-06,0.5059738159179688,0.5815298557281494,9.5367431640625e-06
5,480.47076416015625,2.8190135955810547,5.0902366638183594e-05,-2.1087489128112793,-7.353440284729004,1.6808509826660156e-05,476.4662170410156,3.611459255218506,3.516674041748047e-06,0.7313747406005859,0.62687087059021,1.0341405868530273e-05
6,480.4189147949219,2.7706897258758545,5.474686622619629e-05,-2.276059627532959,-7.26798152923584,1.755356788635254e-05,-0.1307048797607422,-2.1727380752563477,3.844499588012695e-06,0.4878511428833008,1.2096047401428223,1.3262033462524414e-05
7,480.4949951171875,2.6330323219299316,4.932284355163574e-05,-2.384315013885498,-7.622475624084473,1.615285873413086e-05,-0.16716909408569336,-1.8636808395385742,3.844499588012695e-06,0.04060482978820801,1.1123967170715332,1.424551010131836e-05
8,480.33343505859375,2.3052196502685547,3.9964914321899414e-05,-2.30117130279541,-7.224593162536621,1.806020736694336e-05,-0.05859041213989258,-2.1325902938842773,3.6656856536865234e-06,0.34974026679992676,1.3027620315551758,1.3738870620727539e-05
9,436.3616638183594,387.5278015136719,5.8144330978393555e-05,-2.5227108001708984,-7.361509323120117,1.564621925354004e-05,-0.15782499313354492,-2.0779895782470703,4.0531158447265625e-06,-0.04066324234008789,1.1379320621490479,1.3142824172973633e-05
10,435.8928527832031,387.8259582519531,0.00017049908638000488,-2.4141035079956055,-7.671749114990234,1.4334917068481445e-05,-0.40032243728637695,-2.1873912811279297,3.844499588012695e-06,0.1272268295288086,0.9781110286712646,1.1086463928222656e-05
