scorer,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000
bodyparts,nose,nose,nose,right ear,right ear,right ear,left ear,left ear,left ear,tail,tail,tail
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,405.04766845703125,388.22821044921875,0.9786672592163086,399.9010925292969,381.7727355957031,0.44173985719680786,410.5733642578125,381.9983825683594,0.7254565358161926,397.7345886230469,380.94903564453125,0.0006799697875976562
1,405.8562927246094,388.595703125,0.8869785070419312,400.2569274902344,382.5628356933594,0.1492568552494049,411.07080078125,382.4382629394531,0.5718119740486145,397.2073669433594,381.1761779785156,0.0007110834121704102
2,406.13238525390625,389.16510009765625,0.9383302927017212,400.0117492675781,384.32916259765625,0.5002382397651672,411.02545166015625,382.3436279296875,0.8854285478591919,396.7706604003906,380.7303161621094,0.0021166205406188965
3,406.12628173828125,388.705322265625,0.8378154039382935,400.2112731933594,384.3365173339844,0.23796311020851135,410.78668212890625,382.310546875,0.6975982189178467,396.9727478027344,381.26715087890625,0.001011282205581665
4,406.39105224609375,388.9070129394531,0.8411950469017029,400.26568603515625,384.5121765136719,0.2754342555999756,410.6012268066406,382.1167907714844,0.675794243812561,396.8908996582031,381.4580993652344,0.0007963478565216064
5,407.10333251953125,389.0145263671875,0.868634045124054,400.3986511230469,384.8966064453125,0.5466709136962891,410.51593017578125,381.926025390625,0.860999584197998,396.5832214355469,380.9398193359375,0.002081066370010376
6,406.70733642578125,389.0753479003906,0.9093677997589111,400.2816162109375,384.85101318359375,0.5194228291511536,410.50885009765625,381.9972839355469,0.8379719257354736,396.7109069824219,381.25543212890625,0.0020395219326019287
7,406.5620422363281,389.11883544921875,0.8782880902290344,400.2492980957031,384.79669189453125,0.4361562132835388,410.6083679199219,382.2145690917969,0.7820096015930176,396.6434020996094,381.7333984375,0.0014065802097320557
8,406.3050537109375,389.02362060546875,0.9394875764846802,400.1582946777344,384.4057922363281,0.4596494436264038,410.60015869140625,381.8016662597656,0.8673151731491089,396.80877685546875,381.14862060546875,0.0017764568328857422
9,406.1842041015625,389.22393798828125,0.9546416997909546,400.15802001953125,384.2818603515625,0.43181782960891724,410.96722412109375,382.12677001953125,0.886885404586792,396.90008544921875,381.12347412109375,0.002160370349884033
10,406.097412109375,389.263916015625,0.9521000385284424,400.1527404785156,384.0787658691406,0.4083164930343628,411.0743408203125,381.97052001953125,0.8781344890594482,396.8944396972656,381.0903625488281,0.001815497875213623
11,405.8027648925781,389.52032470703125,0.7645615339279175,400.8273010253906,384.9666442871094,0.135395348072052,411.26788330078125,382.6707763671875,0.5386850833892822,396.8991394042969,381.7230224609375,0.0004890263080596924
12,406.1863098144531,389.5413818359375,0.8130011558532715,400.79351806640625,385.2763366699219,0.22145429253578186,411.03131103515625,382.5039978027344,0.5984090566635132,396.93255615234375,382.07720947265625,0.0008702576160430908
