scorer,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000
bodyparts,nose,nose,nose,right ear,right ear,right ear,left ear,left ear,left ear,tail,tail,tail
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,-3.3865065574645996,-2.8449883460998535,3.325939178466797e-05,-3.0090880393981934,-7.597583770751953,1.2248754501342773e-05,418.6982727050781,573.725830078125,7.539987564086914e-06,0.450420618057251,0.6950650215148926,2.2470951080322266e-05
1,-3.1513471603393555,-2.6636276245117188,3.507733345031738e-05,-3.086884021759033,-7.674748420715332,1.0311603546142578e-05,417.93377685546875,575.3328247070312,4.1425228118896484e-06,0.14780354499816895,0.9000339508056641,1.341104507446289e-05
2,-3.051772117614746,-2.871774673461914,2.5480985641479492e-05,-2.9800291061401367,-7.798822402954102,7.867813110351562e-06,417.90509033203125,575.2127685546875,3.5762786865234375e-06,0.4603567123413086,0.83658766746521,1.2576580047607422e-05
3,-3.148622989654541,-3.1039609909057617,2.709031105041504e-05,-2.8210248947143555,-7.499200820922852,9.208917617797852e-06,417.9520568847656,575.0582885742188,4.26173210144043e-06,0.44008517265319824,0.7745823860168457,1.1593103408813477e-05
4,-3.072078227996826,-3.0763473510742188,2.5719404220581055e-05,-2.532151699066162,-7.850255966186523,8.314847946166992e-06,417.9243469238281,575.081787109375,3.844499588012695e-06,0.49088382720947266,0.6978731155395508,7.599592208862305e-06
5,-2.979804515838623,-2.7833404541015625,2.7805566787719727e-05,-2.845688819885254,-7.627023696899414,9.5367431640625e-06,417.7845153808594,575.2149658203125,3.874301910400391e-06,0.5867502689361572,0.5398437976837158,1.2993812561035156e-05
6,-2.8750643730163574,-3.0184431076049805,2.8431415557861328e-05,-2.6632080078125,-7.596506118774414,1.0639429092407227e-05,417.6614074707031,575.2921752929688,9.5367431640625e-06,0.6649606227874756,0.7947397232055664,1.1742115020751953e-05
7,-3.0773239135742188,-2.934666633605957,2.658367156982422e-05,-2.6993632316589355,-7.855524063110352,9.119510650634766e-06,417.7026672363281,575.1347045898438,6.616115570068359e-06,0.6712663173675537,1.0099053382873535,1.233816146850586e-05
8,-3.022449493408203,-3.014613151550293,3.1501054763793945e-05,-2.5652341842651367,-7.443474769592285,1.239776611328125e-05,417.7666015625,575.1854858398438,5.602836608886719e-06,0.8435356616973877,0.7622194290161133,1.245737075805664e-05
9,-2.941511631011963,-3.189962863922119,3.090500831604004e-05,-2.627016544342041,-7.508951187133789,1.2576580047607422e-05,-0.5124421119689941,-1.595512866973877,5.7220458984375e-06,0.7826566696166992,0.6798882484436035,1.1354684829711914e-05
10,-3.2515368461608887,-3.3607125282287598,2.3692846298217773e-05,-2.6226439476013184,-7.309589385986328,1.049041748046875e-05,417.73345947265625,575.1224975585938,6.020069122314453e-06,0.8884234428405762,0.5509476661682129,9.804964065551758e-06
