scorer,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000
bodyparts,nose,nose,nose,right ear,right ear,right ear,left ear,left ear,left ear,tail,tail,tail
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,-3.399641990661621,-2.6706528663635254,2.676248550415039e-05,-2.9309792518615723,-7.976763725280762,1.138448715209961e-05,701.05908203125,85.29428100585938,1.290440559387207e-05,0.7271363735198975,0.8815972805023193,1.7017126083374023e-05
1,-3.465932846069336,-2.7076239585876465,2.6792287826538086e-05,-2.7347960472106934,-7.705430030822754,1.2099742889404297e-05,700.8416137695312,85.36592102050781,1.2964010238647461e-05,0.8148255348205566,0.983715295791626,1.8596649169921875e-05
2,-3.780097484588623,-2.6615681648254395,2.6434659957885742e-05,-2.740105152130127,-7.759660720825195,1.1265277862548828e-05,701.031494140625,85.28585815429688,2.41696834564209e-05,0.7839813232421875,0.950333833694458,1.767277717590332e-05
3,-3.744316577911377,-2.8562746047973633,2.3066997528076172e-05,-2.8032751083374023,-7.959418296813965,9.894371032714844e-06,701.0133666992188,85.3331298828125,1.996755599975586e-05,0.7294309139251709,1.0041701793670654,1.4334917068481445e-05
4,-4.063018798828125,-2.682889461517334,1.9341707229614258e-05,-3.0591702461242676,-8.031299591064453,6.765127182006836e-06,701.016845703125,85.36285400390625,1.874566078186035e-05,0.594818115234375,1.0019488334655762,1.049041748046875e-05
5,-3.710923194885254,-2.6549415588378906,2.3871660232543945e-05,-2.7300453186035156,-8.118091583251953,7.68899917602539e-06,701.0275268554688,85.3666000366211,2.148747444152832e-05,0.607759952545166,1.1665802001953125,1.099705696105957e-05
6,701.1835327148438,72.24181365966797,2.2798776626586914e-05,-2.8375229835510254,-8.131985664367676,6.943941116333008e-06,701.0531616210938,85.4102783203125,2.422928810119629e-05,0.5981862545013428,0.7109725475311279,8.851289749145508e-06
7,701.2440795898438,72.19478607177734,2.1278858184814453e-05,-2.9587864875793457,-8.19049072265625,6.794929504394531e-06,701.0913696289062,85.41030883789062,1.96993350982666e-05,0.6278526782989502,0.8457400798797607,1.0102987289428711e-05
8,-3.7582015991210938,-2.712249279022217,1.940131187438965e-05,-2.869534969329834,-8.20505142211914,7.450580596923828e-06,700.9137573242188,85.32462310791016,1.6510486602783203e-05,0.7072198390960693,0.8782734870910645,1.0967254638671875e-05
9,-3.712381362915039,-2.781121253967285,2.1129846572875977e-05,-2.826199531555176,-7.9427947998046875,7.569789886474609e-06,700.8192749023438,85.25994873046875,1.6987323760986328e-05,0.6379094123840332,0.9019696712493896,1.0967254638671875e-05
10,-3.9579854011535645,-2.5986032485961914,2.0235776901245117e-05,-2.7365798950195312,-8.085881233215332,7.4803829193115234e-06,700.6256713867188,85.20036315917969,1.9431114196777344e-05,0.7709226608276367,0.9588990211486816,1.1056661605834961e-05
