scorer,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000
bodyparts,nose,nose,nose,right ear,right ear,right ear,left ear,left ear,left ear,tail,tail,tail
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,425.8486022949219,60.587589263916016,4.70280647277832e-05,-2.6867847442626953,-7.2007246017456055,1.5020370483398438e-05,0.05469846725463867,-2.3133463859558105,3.0100345611572266e-06,373.4238586425781,76.93395233154297,1.1324882507324219e-05
1,435.0752868652344,386.91455078125,7.539987564086914e-05,-2.5910725593566895,-7.337668418884277,1.379847526550293e-05,0.15033483505249023,-2.4343948364257812,2.950429916381836e-06,0.5009317398071289,0.6080787181854248,1.2785196304321289e-05
2,425.9205322265625,60.562469482421875,4.979968070983887e-05,-2.4305620193481445,-7.035374641418457,1.722574234008789e-05,-0.0011563301086425781,-2.33676815032959,3.2782554626464844e-06,0.22055816650390625,0.8612675666809082,1.1056661605834961e-05
3,425.94158935546875,60.544429779052734,4.699826240539551e-05,-2.315211296081543,-7.108869552612305,1.385807991027832e-05,0.15689539909362793,-2.7668509483337402,3.039836883544922e-06,0.5554184913635254,0.42778849601745605,1.0728836059570312e-05
4,425.88726806640625,60.572452545166016,4.482269287109375e-05,-2.4283699989318848,-7.563006401062012,1.379847526550293e-05,0.29290771484375,-2.4215431213378906,3.039836883544922e-06,0.5616576671600342,0.6753861904144287,1.2606382369995117e-05
5,434.828857421875,386.9210510253906,0.00010722875595092773,-2.5247268676757812,-7.579305648803711,1.2099742889404297e-05,0.2825348377227783,-2.588075637817383,2.8312206268310547e-06,0.48964595794677734,0.6806182861328125,1.2069940567016602e-05
6,434.7981262207031,386.7018737792969,6.732344627380371e-05,-2.4890785217285156,-7.288969993591309,1.2814998626708984e-05,0.2787747383117676,-2.4159460067749023,2.8312206268310547e-06,0.5434908866882324,0.6936824321746826,1.0818243026733398e-05
7,434.72662353515625,387.1900939941406,7.238984107971191e-05,-2.4646553993225098,-7.168781280517578,1.290440559387207e-05,0.18628168106079102,-2.4911651611328125,2.8312206268310547e-06,0.494976282119751,0.6854093074798584,1.0222196578979492e-05
8,426.10357666015625,60.65888977050781,4.318356513977051e-05,-2.5684804916381836,-7.23968505859375,1.1414289474487305e-05,0.15253090858459473,-2.539292335510254,2.3543834686279297e-06,373.7032775878906,76.96102142333984,1.0758638381958008e-05
9,434.69207763671875,387.1017150878906,4.601478576660156e-05,-2.757439136505127,-7.52149772644043,1.2159347534179688e-05,0.23385071754455566,-2.426435947418213,2.473592758178711e-06,0.43543004989624023,0.9538891315460205,1.0013580322265625e-05
10,434.6059875488281,387.1512756347656,8.991360664367676e-05,-2.521273136138916,-7.36912727355957,1.2099742889404297e-05,0.32000041007995605,-2.587752342224121,2.5331974029541016e-06,373.56634521484375,77.04287719726562,1.043081283569336e-05
