scorer,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000
bodyparts,nose,nose,nose,right ear,right ear,right ear,left ear,left ear,left ear,tail,tail,tail
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,-2.79872989654541,-3.123453140258789,3.516674041748047e-05,-2.5151853561401367,-7.537137985229492,1.3917684555053711e-05,0.043731689453125,-2.226386547088623,3.7848949432373047e-06,0.19385290145874023,0.6494083404541016,1.1473894119262695e-05
1,-3.1446661949157715,-3.151623249053955,3.135204315185547e-05,-2.41909122467041,-7.546723365783691,1.3649463653564453e-05,-0.2175884246826172,-2.3280653953552246,3.725290298461914e-06,0.3250153064727783,0.801316499710083,9.924173355102539e-06
2,-3.2318062782287598,-3.0731935501098633,2.73287296295166e-05,-2.1806178092956543,-7.536298751831055,1.284480094909668e-05,-0.000377655029296875,-2.510347366333008,3.3974647521972656e-06,0.38436198234558105,0.6766471862792969,1.004338264465332e-05
3,-3.169015407562256,-2.9126386642456055,3.165006637573242e-05,-2.5897717475891113,-8.094141960144043,1.2159347534179688e-05,-0.04467916488647461,-2.078843116760254,3.3974647521972656e-06,0.1610426902770996,0.6527166366577148,1.3113021850585938e-05
4,-2.7402591705322266,-3.186704635620117,3.2573938369750977e-05,-2.3319358825683594,-7.485905647277832,1.4424324035644531e-05,-0.1269702911376953,-2.398831367492676,4.32133674621582e-06,0.2761247158050537,0.6843795776367188,1.150369644165039e-05
5,-3.4732394218444824,-2.9838032722473145,2.4378299713134766e-05,-3.0426220893859863,-7.956639289855957,1.0073184967041016e-05,-0.04683399200439453,-2.3241634368896484,2.562999725341797e-06,0.2645704746246338,0.7042331695556641,1.055002212524414e-05
6,-3.6246113777160645,-3.023548126220703,2.5451183319091797e-05,-3.001816749572754,-7.651223182678223,1.1205673217773438e-05,0.16577553749084473,-2.40817928314209,2.652406692504883e-06,0.20524883270263672,0.6033883094787598,1.0281801223754883e-05
7,-2.941079616546631,-3.202474594116211,3.236532211303711e-05,-2.423401355743408,-7.316373825073242,1.4126300811767578e-05,0.05841660499572754,-2.5258374214172363,2.950429916381836e-06,0.1499931812286377,0.6589586734771729,1.0222196578979492e-05
8,-3.3762331008911133,-3.1281580924987793,2.7745962142944336e-05,-2.7665419578552246,-7.589991569519043,1.1742115020751953e-05,0.027394771575927734,-2.253970146179199,2.771615982055664e-06,0.09404683113098145,0.706449031829834,1.1414289474487305e-05
9,-3.216311454772949,-3.055826187133789,2.8967857360839844e-05,-2.684506893157959,-7.652988433837891,1.2308359146118164e-05,0.09181618690490723,-2.3287477493286133,3.0100345611572266e-06,0.2000749111175537,0.7988252639770508,1.1295080184936523e-05
10,-2.831594944000244,-3.266669750213623,3.364682197570801e-05,-2.465697765350342,-7.333918571472168,1.4454126358032227e-05,0.05855607986450195,-2.421029567718506,3.3974647521972656e-06,0.1425340175628662,0.9397115707397461,1.1652708053588867e-05
