scorer,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000
bodyparts,nose,nose,nose,right ear,right ear,right ear,left ear,left ear,left ear,tail,tail,tail
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,-3.965155601501465,-2.4047422409057617,2.6732683181762695e-05,-2.8435134887695312,-6.631330490112305,1.1146068572998047e-05,0.8223366737365723,-2.473874568939209,4.082918167114258e-06,0.12042236328125,0.09414100646972656,9.5367431640625e-06
1,-3.667057514190674,-2.2111029624938965,3.1828880310058594e-05,-2.5707473754882812,-6.591753005981445,1.3679265975952148e-05,0.710878849029541,-2.6386680603027344,4.887580871582031e-06,0.27575039863586426,0.2608184814453125,1.3530254364013672e-05
2,-2.6494760513305664,-2.202340602874756,4.360079765319824e-05,-2.6913299560546875,-6.932969093322754,1.329183578491211e-05,0.5773077011108398,-2.2643699645996094,3.904104232788086e-06,0.006924152374267578,0.8198637962341309,9.268522262573242e-06
3,-2.82039737701416,-2.5860977172851562,3.9190053939819336e-05,-2.533994674682617,-6.6464338302612305,1.9043684005737305e-05,0.6396424770355225,-2.550705909729004,4.470348358154297e-06,0.1572740077972412,0.5414929389953613,1.2964010238647461e-05
4,-3.2672815322875977,-2.406426429748535,3.737211227416992e-05,-2.2012505531311035,-6.594291687011719,1.6421079635620117e-05,0.4990875720977783,-2.352621555328369,4.0531158447265625e-06,0.3391125202178955,0.48328590393066406,9.626150131225586e-06
5,-2.9402379989624023,-2.4960994720458984,4.029273986816406e-05,-2.3885507583618164,-6.722386360168457,1.6868114471435547e-05,0.5039641857147217,-2.445033073425293,4.4405460357666016e-06,0.15923285484313965,0.49104881286621094,9.804964065551758e-06
6,-2.979313373565674,-2.3510255813598633,3.7223100662231445e-05,-2.526963233947754,-6.751805305480957,1.5139579772949219e-05,0.5509252548217773,-2.449498176574707,4.023313522338867e-06,-0.0023398399353027344,0.552605152130127,8.940696716308594e-06
7,-3.2089028358459473,-2.6146159172058105,3.260374069213867e-05,-2.60825252532959,-6.971095085144043,1.4930963516235352e-05,0.5536096096038818,-2.5401501655578613,3.7848949432373047e-06,0.2914090156555176,0.7107677459716797,1.0460615158081055e-05
8,-3.23121976852417,-2.5542702674865723,3.6388635635375977e-05,-2.6133522987365723,-7.024297714233398,1.6391277313232422e-05,0.5474247932434082,-2.3003978729248047,4.023313522338867e-06,0.1550302505493164,0.5237085819244385,1.1473894119262695e-05
9,-2.881641387939453,-2.3597044944763184,4.2766332626342773e-05,-2.597445487976074,-6.701992988586426,1.7076730728149414e-05,0.6791961193084717,-2.4318490028381348,4.6193599700927734e-06,0.24071979522705078,0.6965439319610596,1.4662742614746094e-05
