scorer,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000
bodyparts,nose,nose,nose,right ear,right ear,right ear,left ear,left ear,left ear,tail,tail,tail
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,-1.0547127723693848,-0.18077945709228516,7.039308547973633e-05,-1.7441344261169434,-6.362738609313965,4.169344902038574e-05,-2.6702256202697754,-1.3771681785583496,3.045797348022461e-05,1.4003121852874756,1.5572800636291504,6.002187728881836e-05
1,-1.2749347686767578,-0.3481631278991699,4.559755325317383e-05,-1.655271053314209,-6.575523376464844,2.4527311325073242e-05,-2.7217650413513184,-1.2598485946655273,1.8835067749023438e-05,1.3992810249328613,1.5675325393676758,3.948807716369629e-05
2,-1.353518009185791,-0.5071926116943359,3.981590270996094e-05,-1.623988151550293,-6.730405807495117,2.2023916244506836e-05,-2.7177600860595703,-1.2470102310180664,1.6361474990844727e-05,1.4149065017700195,1.6914515495300293,3.737211227416992e-05
3,-1.3389906883239746,-0.3639392852783203,4.0024518966674805e-05,-1.6261367797851562,-6.584779739379883,2.1904706954956055e-05,-2.7221293449401855,-1.2676777839660645,1.6063451766967773e-05,1.3414864540100098,1.5975041389465332,3.5703182220458984e-05
4,-1.2995362281799316,-0.2974362373352051,4.717707633972168e-05,-1.689579963684082,-6.530160903930664,2.586841583251953e-05,-2.7073841094970703,-1.2755866050720215,1.9371509552001953e-05,1.4821014404296875,1.5655605792999268,4.1544437408447266e-05
5,-1.132431983947754,-0.20492839813232422,5.97834587097168e-05,-1.6635284423828125,-6.481075286865234,3.62396240234375e-05,-2.652714729309082,-1.3345718383789062,2.5272369384765625e-05,1.4956252574920654,1.4961919784545898,4.8786401748657227e-05
6,-1.0485315322875977,-0.2373213768005371,8.01384449005127e-05,-1.6138248443603516,-6.283766746520996,4.64320182800293e-05,-2.562504768371582,-1.284623622894287,3.203749656677246e-05,1.392462968826294,1.4870648384094238,6.389617919921875e-05
7,-1.258965015411377,-0.27326059341430664,6.0051679611206055e-05,-1.6523375511169434,-6.427180290222168,3.403425216674805e-05,-2.623723030090332,-1.403327465057373,2.580881118774414e-05,1.1772563457489014,1.53678297996521,4.711747169494629e-05
8,-1.0925846099853516,-0.46675586700439453,6.0051679611206055e-05,-1.6977663040161133,-6.710634231567383,3.1620264053344727e-05,-2.8307881355285645,-1.355665683746338,2.512335777282715e-05,1.295762300491333,1.505051612854004,5.0127506256103516e-05
9,-1.1580162048339844,-0.7224392890930176,5.751848220825195e-05,-1.6314616203308105,-6.958756446838379,3.1501054763793945e-05,-2.673638343811035,-1.4060797691345215,2.3156404495239258e-05,1.3885447978973389,1.4381465911865234,5.8084726333618164e-05
