scorer,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000
bodyparts,nose,nose,nose,right ear,right ear,right ear,left ear,left ear,left ear,tail,tail,tail
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,-3.0583600997924805,-2.7901973724365234,3.2514333724975586e-05,-3.1044397354125977,-7.627834320068359,1.4066696166992188e-05,0.12925457954406738,-2.0914864540100098,3.844499588012695e-06,0.2521367073059082,0.46563005447387695,1.564621925354004e-05
1,-2.6546382904052734,-2.8780202865600586,3.5315752029418945e-05,-2.688857078552246,-7.6229753494262695,1.3381242752075195e-05,0.15822625160217285,-2.150968074798584,3.7550926208496094e-06,0.07697749137878418,0.7262823581695557,1.2964010238647461e-05
2,-3.1489720344543457,-2.774345874786377,3.5136938095092773e-05,-2.7797141075134277,-7.289894104003906,1.3649463653564453e-05,0.3244156837463379,-2.2735490798950195,3.039836883544922e-06,0.27686166763305664,0.8256185054779053,1.3381242752075195e-05
3,351.2567443847656,312.1877136230469,0.0002923905849456787,-2.24190092086792,-7.138040542602539,1.3113021850585938e-05,337.4920349121094,320.331787109375,1.4156103134155273e-05,0.22182226181030273,0.478757381439209,8.493661880493164e-06
4,351.9961242675781,312.1121826171875,0.0006743073463439941,-2.682809352874756,-7.0968170166015625,1.3142824172973633e-05,337.5393981933594,319.6756896972656,1.379847526550293e-05,0.43485260009765625,0.8439483642578125,9.268522262573242e-06
5,352.3623352050781,313.0003967285156,0.002496868371963501,-2.6328063011169434,-7.298620223999023,1.4126300811767578e-05,337.6277770996094,320.24725341796875,0.00015014410018920898,0.2976858615875244,0.8857078552246094,1.3023614883422852e-05
6,352.4046630859375,312.5967102050781,6.276369094848633e-05,-2.947645664215088,-7.310025215148926,1.4156103134155273e-05,337.4791564941406,320.2804260253906,1.2278556823730469e-05,0.36405491828918457,0.8404662609100342,1.5139579772949219e-05
7,353.0601501464844,313.62420654296875,0.0003096461296081543,346.1871643066406,327.3597412109375,4.309415817260742e-05,336.92333984375,320.2989501953125,8.630752563476562e-05,0.1470503807067871,0.8618221282958984,8.314847946166992e-06
8,352.9017333984375,323.0628967285156,0.00028583407402038574,345.7626647949219,327.2483215332031,4.521012306213379e-05,336.8712158203125,320.0920104980469,9.164214134216309e-05,0.32268309593200684,1.006035327911377,1.055002212524414e-05
9,353.56451416015625,324.8362121582031,0.0002525150775909424,341.6502990722656,330.9490051269531,1.9431114196777344e-05,341.1615295410156,320.8105773925781,1.0639429092407227e-05,0.030376195907592773,0.6305136680603027,1.043081283569336e-05
10,354.232421875,324.2125549316406,0.00014349818229675293,346.1172790527344,327.5174560546875,2.0682811737060547e-05,336.8503112792969,321.68817138671875,5.662441253662109e-06,0.1370835304260254,0.3639261722564697,8.046627044677734e-06
