scorer,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000
bodyparts,nose,nose,nose,right ear,right ear,right ear,left ear,left ear,left ear,tail,tail,tail
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,-4.771875381469727,52.62114715576172,8.997321128845215e-05,-3.879979133605957,-5.555994987487793,2.1696090698242188e-05,-0.4162726402282715,-1.4156060218811035,1.5676021575927734e-05,0.3408846855163574,0.6825203895568848,1.2308359146118164e-05
1,-4.890973091125488,52.75297927856445,8.353590965270996e-05,-3.9097447395324707,-5.615044593811035,2.104043960571289e-05,-0.4351625442504883,-1.4516792297363281,1.5020370483398438e-05,0.34567952156066895,0.6503493785858154,1.1682510375976562e-05
2,-4.083260536193848,-0.6114711761474609,6.940960884094238e-05,-3.8593578338623047,-5.594437599182129,2.0742416381835938e-05,-0.4608626365661621,-1.4581165313720703,1.5109777450561523e-05,0.40916872024536133,0.6893477439880371,1.2159347534179688e-05
3,-4.710132598876953,52.61924362182617,0.00011798739433288574,-3.96126651763916,-5.702763557434082,1.9162893295288086e-05,-0.5478310585021973,-1.3952126502990723,1.4662742614746094e-05,0.37738609313964844,0.634192705154419,1.049041748046875e-05
4,-4.619480133056641,52.65681457519531,0.00013211369514465332,-3.895303726196289,-5.649855613708496,1.996755599975586e-05,-0.39894676208496094,-1.4000144004821777,1.627206802368164e-05,0.10435104370117188,53.07298278808594,1.436471939086914e-05
5,-4.708961486816406,52.67754364013672,0.00010988116264343262,-3.7162022590637207,-5.55411434173584,1.952052116394043e-05,-0.46021318435668945,-1.3185210227966309,1.4781951904296875e-05,0.01752018928527832,53.13193893432617,1.2665987014770508e-05
6,-4.163542747497559,-0.5347762107849121,7.43567943572998e-05,-3.970104694366455,-5.7803449630737305,2.0325183868408203e-05,-0.6757087707519531,-1.3192830085754395,1.8417835235595703e-05,0.5304336547851562,0.6260075569152832,1.1265277862548828e-05
7,-4.20084285736084,-0.7443122863769531,7.477402687072754e-05,-3.711533546447754,-5.814854621887207,2.1189451217651367e-05,-0.6448235511779785,-1.3308215141296387,1.8298625946044922e-05,0.5468826293945312,0.5368077754974365,1.2248754501342773e-05
8,-4.339751243591309,-0.6359319686889648,7.146596908569336e-05,-3.9350061416625977,-5.923046112060547,1.9758939743041992e-05,-0.7704730033874512,-1.2300128936767578,1.856684684753418e-05,0.5598421096801758,0.6187794208526611,1.1712312698364258e-05
9,-4.1405487060546875,-0.6649727821350098,7.531046867370605e-05,-3.636620044708252,-5.597041130065918,2.0295381546020508e-05,-0.49643659591674805,-1.3364458084106445,1.6301870346069336e-05,0.22151803970336914,0.5978147983551025,1.093745231628418e-05
10,-4.205039978027344,-0.6705927848815918,7.578730583190918e-05,-3.5145416259765625,-5.802577018737793,2.0563602447509766e-05,-0.7910637855529785,-1.230708122253418,2.0116567611694336e-05,0.4620780944824219,0.8151106834411621,1.2129545211791992e-05
