scorer,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000
bodyparts,nose,nose,nose,right ear,right ear,right ear,left ear,left ear,left ear,tail,tail,tail
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,-2.7336339950561523,-2.0269012451171875,4.902482032775879e-05,-2.189049243927002,-6.736269950866699,1.4185905456542969e-05,0.5591685771942139,-2.482011318206787,4.649162292480469e-06,0.12928438186645508,0.505964994430542,1.1324882507324219e-05
1,-3.096888542175293,-2.3777108192443848,4.056096076965332e-05,-2.1970434188842773,-6.581601142883301,2.0682811737060547e-05,0.39023470878601074,-2.1981472969055176,8.195638656616211e-06,0.25499892234802246,0.46399950981140137,1.811981201171875e-05
2,-2.603271484375,-2.181795120239258,4.965066909790039e-05,-2.4890379905700684,-6.446924209594727,1.9848346710205078e-05,0.2792339324951172,-2.3824658393859863,6.22868537902832e-06,0.3423621654510498,0.8631689548492432,1.609325408935547e-05
3,-2.932745933532715,-2.0034985542297363,5.0067901611328125e-05,-2.730936050415039,-6.8542680740356445,2.065300941467285e-05,0.46172642707824707,-2.0246033668518066,6.67572021484375e-06,0.4440314769744873,0.9183804988861084,1.6123056411743164e-05
4,-2.920927047729492,-2.1940813064575195,2.79843807220459e-05,-2.7288146018981934,-7.332662582397461,1.284480094909668e-05,0.621410608291626,-2.476637840270996,3.3974647521972656e-06,0.10674667358398438,0.9534482955932617,1.2546777725219727e-05
5,-2.7541379928588867,-2.0142951011657715,3.88026237487793e-05,-2.2600045204162598,-6.872250556945801,1.564621925354004e-05,0.4810147285461426,-2.151459217071533,4.649162292480469e-06,0.5304219722747803,0.9893152713775635,1.4603137969970703e-05
6,-2.6956405639648438,-1.725339412689209,5.397200584411621e-05,-2.675779342651367,-6.809084892272949,1.4930963516235352e-05,0.48815298080444336,-1.991255760192871,4.887580871582031e-06,0.14029407501220703,0.8509855270385742,1.2129545211791992e-05
7,-3.0169644355773926,-2.489903450012207,2.9474496841430664e-05,-2.2118358612060547,-6.731466293334961,1.2576580047607422e-05,0.2771921157836914,-2.4520325660705566,4.26173210144043e-06,0.6405677795410156,0.4273247718811035,1.195073127746582e-05
8,-2.476046085357666,-2.0513625144958496,4.4852495193481445e-05,-1.9847469329833984,-6.484498023986816,1.5974044799804688e-05,0.49400901794433594,-2.67104434967041,5.185604095458984e-06,0.5633316040039062,0.746920108795166,9.864568710327148e-06
9,-2.774138927459717,-2.773195743560791,3.904104232788086e-05,-1.917588233947754,-6.6502685546875,1.7970800399780273e-05,-0.14118671417236328,-2.313581943511963,6.198883056640625e-06,0.6741979122161865,0.44718122482299805,1.1146068572998047e-05
10,-2.388608932495117,-2.3409013748168945,3.6150217056274414e-05,-1.7561979293823242,-6.530470848083496,1.4841556549072266e-05,0.43621373176574707,-2.636519432067871,5.155801773071289e-06,0.5411942005157471,0.8973500728607178,1.2665987014770508e-05
