scorer,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000
bodyparts,nose,nose,nose,right ear,right ear,right ear,left ear,left ear,left ear,tail,tail,tail
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,-1.979689598083496,-0.5055398941040039,3.489851951599121e-05,-2.368244171142578,-6.919595718383789,1.6689300537109375e-05,-2.3063478469848633,-1.0318002700805664,1.5020370483398438e-05,1.3919250965118408,1.4337882995605469,2.9802322387695312e-05
1,-1.9639229774475098,-0.623286247253418,3.606081008911133e-05,-2.234002113342285,-6.755741119384766,1.9162893295288086e-05,-2.2074527740478516,-1.3035035133361816,1.5497207641601562e-05,1.219794750213623,1.4485464096069336,3.412365913391113e-05
2,-1.9216423034667969,-1.0226435661315918,3.4928321838378906e-05,-1.9174118041992188,-7.046028137207031,1.7881393432617188e-05,-2.6803197860717773,-1.2562923431396484,1.6689300537109375e-05,1.158782958984375,1.8987855911254883,4.7266483306884766e-05
3,-1.8245596885681152,-0.6731700897216797,3.460049629211426e-05,-2.186492919921875,-6.794626235961914,1.6570091247558594e-05,-2.159332275390625,-1.2191615104675293,1.4394521713256836e-05,1.3708722591400146,1.6232430934906006,3.635883331298828e-05
4,-1.9097094535827637,-0.7486119270324707,3.2395124435424805e-05,-2.181912422180176,-6.666797637939453,1.5527009963989258e-05,-2.082840919494629,-1.2247753143310547,1.3977289199829102e-05,1.3166143894195557,1.6120238304138184,3.471970558166504e-05
5,-2.061279296875,-0.6227536201477051,3.007054328918457e-05,-2.248868465423584,-6.906730651855469,1.4096498489379883e-05,-2.069674015045166,-0.928123950958252,1.3560056686401367e-05,1.2397029399871826,1.5526649951934814,3.007054328918457e-05
6,-2.271437644958496,-0.5512022972106934,2.7745962142944336e-05,-2.3874077796936035,-6.953211784362793,1.2159347534179688e-05,-2.0629472732543945,-1.1132087707519531,1.138448715209961e-05,1.1119613647460938,1.4536464214324951,2.47955322265625e-05
7,-2.300821304321289,-0.5515036582946777,2.664327621459961e-05,-2.286834239959717,-7.001359939575195,1.2665987014770508e-05,-2.167487144470215,-1.2260732650756836,1.1265277862548828e-05,1.222827434539795,1.491443157196045,2.6851892471313477e-05
8,-2.186858654022217,-0.5212407112121582,3.0249357223510742e-05,-2.292203903198242,-6.956918716430664,1.4781951904296875e-05,-2.047466278076172,-1.1583881378173828,1.3053417205810547e-05,1.2676355838775635,1.4279377460479736,2.9534101486206055e-05
9,-2.138998031616211,-0.4915904998779297,3.120303153991699e-05,-2.3126187324523926,-6.994121551513672,1.5556812286376953e-05,-2.1156558990478516,-1.303243637084961,1.3709068298339844e-05,1.2326679229736328,1.3865842819213867,2.9802322387695312e-05
