scorer,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000
bodyparts,nose,nose,nose,right ear,right ear,right ear,left ear,left ear,left ear,tail,tail,tail
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,436.3814392089844,388.1094665527344,0.00014328956604003906,-2.3260436058044434,-7.412445068359375,1.195073127746582e-05,-0.0872659683227539,-2.497015953063965,2.9206275939941406e-06,0.16728472709655762,0.6580045223236084,6.079673767089844e-06
1,-3.2116479873657227,-3.2828121185302734,2.6494264602661133e-05,-2.1772680282592773,-7.589103698730469,1.0251998901367188e-05,-0.16228628158569336,-2.7171859741210938,3.039836883544922e-06,0.28394079208374023,0.6954240798950195,7.4803829193115234e-06
2,436.2951354980469,388.5254211425781,7.155537605285645e-05,-1.9745655059814453,-7.594356536865234,1.3589859008789062e-05,-0.35999584197998047,-2.638169765472412,3.5762786865234375e-06,0.45818185806274414,0.8542666435241699,8.046627044677734e-06
3,436.3031311035156,388.4657287597656,0.00011521577835083008,-2.480678081512451,-7.653643608093262,9.834766387939453e-06,-0.27623844146728516,-2.1315221786499023,3.3080577850341797e-06,0.17089295387268066,0.9516267776489258,8.612871170043945e-06
4,436.4718933105469,388.4144287109375,0.00010371208190917969,-2.7022366523742676,-7.58868408203125,9.98377799987793e-06,0.013745546340942383,-1.6411738395690918,3.129243850708008e-06,0.03615617752075195,1.1324615478515625,1.093745231628418e-05
5,-2.8490405082702637,-3.2047009468078613,3.2514333724975586e-05,-2.5441842079162598,-7.890342712402344,1.245737075805664e-05,-0.11591053009033203,-1.9965686798095703,3.7848949432373047e-06,0.3473682403564453,0.9314002990722656,1.3321638107299805e-05
6,-2.7766332626342773,-2.9026904106140137,3.5375356674194336e-05,-2.9095468521118164,-7.774609565734863,1.2546777725219727e-05,0.05319356918334961,-1.824610710144043,4.082918167114258e-06,0.3652951717376709,0.8568696975708008,1.5497207641601562e-05
7,-2.922886848449707,-2.9738287925720215,3.927946090698242e-05,-2.6033263206481934,-7.658867835998535,1.4066696166992188e-05,-0.1997089385986328,-1.8614158630371094,4.589557647705078e-06,-0.0826120376586914,0.857184648513794,1.2665987014770508e-05
8,-2.6175951957702637,-2.9520621299743652,4.553794860839844e-05,-2.467933177947998,-7.230255126953125,1.4394521713256836e-05,0.09703803062438965,-2.0675768852233887,5.4836273193359375e-06,-0.021450519561767578,0.6714794635772705,1.3470649719238281e-05
9,-2.8761954307556152,-3.0000085830688477,3.701448440551758e-05,-2.5931339263916016,-7.495919227600098,1.2278556823730469e-05,-0.15400314331054688,-2.0081138610839844,4.678964614868164e-06,0.08768868446350098,0.82454514503479,1.2010335922241211e-05
10,-2.987032413482666,-3.2487692832946777,3.081560134887695e-05,-2.705799102783203,-7.848044395446777,1.2278556823730469e-05,-0.2902078628540039,-2.011967658996582,3.993511199951172e-06,0.14869928359985352,0.7284348011016846,1.2606382369995117e-05
