scorer,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000
bodyparts,nose,nose,nose,right ear,right ear,right ear,left ear,left ear,left ear,tail,tail,tail
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,536.9656982421875,589.903564453125,5.060434341430664e-05,-3.027050495147705,-7.709087371826172,1.1235475540161133e-05,418.7725830078125,572.2566528320312,0.00017049908638000488,417.3761901855469,589.893310546875,0.008578389883041382
1,780.14990234375,314.2052307128906,0.00012105703353881836,-3.0423922538757324,-7.35117244720459,1.1652708053588867e-05,419.0576171875,572.1638793945312,0.00013193488121032715,417.275634765625,589.9009399414062,0.006526648998260498
2,780.2188110351562,313.6739196777344,0.0004165768623352051,782.4994506835938,313.0094299316406,5.1468610763549805e-05,778.625,316.6429138183594,0.000412672758102417,415.346923828125,591.93359375,0.006495743989944458
3,780.1918334960938,313.5774841308594,0.0013143718242645264,782.828857421875,312.9848327636719,0.00020626187324523926,775.132080078125,316.9728698730469,0.001586318016052246,415.46307373046875,592.0067749023438,0.008261650800704956
4,781.3588256835938,312.1651916503906,0.015941709280014038,783.6918334960938,313.0120544433594,0.003377467393875122,774.6046752929688,316.6654357910156,0.038238734006881714,415.64178466796875,591.8169555664062,0.006912797689437866
5,782.0154418945312,312.24542236328125,0.005413621664047241,783.888671875,312.8764343261719,0.001076340675354004,775.5543823242188,316.8926696777344,0.009896188974380493,415.4543762207031,592.1194458007812,0.00400698184967041
6,781.0541381835938,313.4011535644531,0.005965769290924072,783.9445190429688,313.13909912109375,0.0009453296661376953,775.4349365234375,317.223876953125,0.00939112901687622,415.2511901855469,592.0519409179688,0.011892855167388916
7,781.5206909179688,313.34912109375,0.0035010576248168945,783.8169555664062,314.87237548828125,0.0005018115043640137,778.6767578125,317.0169372558594,0.004146546125411987,415.5105285644531,591.9057006835938,0.007643699645996094
8,782.460205078125,312.2032165527344,0.03346383571624756,783.9873046875,314.35205078125,0.008450865745544434,776.0172119140625,316.81982421875,0.04018670320510864,415.6485595703125,591.788330078125,0.010597139596939087
9,781.565185546875,311.9908142089844,0.04484263062477112,783.7747802734375,314.2464599609375,0.010548442602157593,775.1141967773438,316.8938293457031,0.08847713470458984,415.7217102050781,592.023681640625,0.011058926582336426
10,781.931640625,312.1845703125,0.03473511338233948,783.5908203125,314.73291015625,0.009349197149276733,775.2489624023438,316.8985595703125,0.04771575331687927,415.3861083984375,592.3077392578125,0.01627194881439209
11,782.4940185546875,312.1103210449219,0.09242352843284607,784.0142822265625,314.7790222167969,0.04854065179824829,775.5000610351562,316.43829345703125,0.20202773809432983,415.3352966308594,592.3084716796875,0.006010204553604126
12,785.7647705078125,312.06610107421875,0.38374239206314087,784.5582275390625,314.1627502441406,0.41557133197784424,775.5030517578125,316.5056457519531,0.7529588937759399,415.4972229003906,592.221923828125,0.00357016921043396
