scorer,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000
bodyparts,nose,nose,nose,right ear,right ear,right ear,left ear,left ear,left ear,tail,tail,tail
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,-3.547865390777588,-3.357736587524414,2.0265579223632812e-05,-2.7678050994873047,-7.554773330688477,9.894371032714844e-06,-0.03947019577026367,-2.3752613067626953,2.5033950805664062e-06,0.6506638526916504,0.8612072467803955,9.775161743164062e-06
1,-3.114346504211426,-3.419137477874756,2.4437904357910156e-05,-2.556913375854492,-7.197561264038086,1.2874603271484375e-05,0.27222514152526855,-2.425370693206787,2.7418136596679688e-06,0.5580332279205322,0.8923113346099854,1.1116266250610352e-05
2,-3.749253749847412,-3.0940704345703125,2.0563602447509766e-05,-2.2066378593444824,-7.339696884155273,1.093745231628418e-05,-0.051819801330566406,-2.2998199462890625,3.1888484954833984e-06,0.4667184352874756,0.27106523513793945,1.0251998901367188e-05
3,-3.4328365325927734,-3.428536891937256,2.047419548034668e-05,-2.6766562461853027,-7.593583106994629,9.924173355102539e-06,0.008430004119873047,-2.3581695556640625,2.5331974029541016e-06,0.4181051254272461,0.5894248485565186,8.851289749145508e-06
4,-2.7648844718933105,-3.3751187324523926,2.8312206268310547e-05,-2.396885871887207,-7.210589408874512,1.4573335647583008e-05,0.029845476150512695,-2.307831287384033,3.248453140258789e-06,0.3664216995239258,0.7044351100921631,1.379847526550293e-05
5,-3.19382905960083,-3.3222289085388184,2.562999725341797e-05,-2.5406041145324707,-7.548250198364258,1.3440847396850586e-05,-0.04056978225708008,-2.1220240592956543,3.606081008911133e-06,0.585822343826294,0.8266263008117676,1.1980533599853516e-05
6,-3.4525418281555176,-3.0687742233276367,2.1219253540039062e-05,-2.59091854095459,-7.812784194946289,1.0907649993896484e-05,717.0714721679688,94.39149475097656,3.069639205932617e-06,0.6767990589141846,0.7380585670471191,1.0102987289428711e-05
7,-3.1644468307495117,-3.073781967163086,2.8014183044433594e-05,-2.4726481437683105,-7.533292770385742,1.2755393981933594e-05,-0.04150676727294922,-2.3550591468811035,3.5762786865234375e-06,0.3720982074737549,0.6300754547119141,1.1563301086425781e-05
8,-2.882697582244873,-3.516756057739258,2.3603439331054688e-05,-2.2295241355895996,-7.16843318939209,1.3053417205810547e-05,-0.23062849044799805,-2.377577304840088,3.9637088775634766e-06,0.49082040786743164,0.8407812118530273,8.404254913330078e-06
9,-2.780590534210205,-3.041163444519043,3.185868263244629e-05,-2.344399929046631,-7.150630950927734,1.5407800674438477e-05,5.817413330078125e-05,-2.167285919189453,3.248453140258789e-06,0.2046663761138916,0.8648335933685303,1.2010335922241211e-05
