scorer,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000,DLC_resnet50_social_behavior_allMay27shuffle1_250000
bodyparts,nose,nose,nose,right ear,right ear,right ear,left ear,left ear,left ear,tail,tail,tail
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,-1.2148981094360352,-0.5123639106750488,7.721781730651855e-05,-1.4065132141113281,-6.315007209777832,3.641843795776367e-05,-2.4830360412597656,-1.4561452865600586,2.5570392608642578e-05,0.7228567600250244,1.3082220554351807,4.6700239181518555e-05
1,-1.3937468528747559,-0.5178999900817871,7.292628288269043e-05,-1.8788118362426758,-6.584855079650879,3.707408905029297e-05,-2.27264404296875,-1.8500909805297852,2.8431415557861328e-05,0.6969609260559082,0.9373884201049805,5.02467155456543e-05
2,-1.978121280670166,-0.690030574798584,4.741549491882324e-05,-2.268718719482422,-6.782175064086914,2.5600194931030273e-05,-2.2857298851013184,-1.756828784942627,2.1457672119140625e-05,1.0707740783691406,1.1793222427368164,5.480647087097168e-05
3,-1.836331844329834,-0.5378422737121582,5.081295967102051e-05,-2.1740827560424805,-6.878105163574219,2.4586915969848633e-05,-2.066108226776123,-1.4654154777526855,1.913309097290039e-05,1.132077693939209,1.362306833267212,3.8117170333862305e-05
4,-1.6074533462524414,-0.5782918930053711,4.839897155761719e-05,-1.9712495803833008,-6.743406295776367,2.4706125259399414e-05,-2.3899054527282715,-1.5191950798034668,1.868605613708496e-05,0.9522244930267334,1.4939277172088623,4.044175148010254e-05
5,-1.4432992935180664,-0.294797420501709,5.879998207092285e-05,-2.469097137451172,-6.895689964294434,2.664327621459961e-05,-2.476632595062256,-1.15623140335083,2.1725893020629883e-05,0.9509203433990479,1.3959424495697021,3.8504600524902344e-05
6,-1.4028329849243164,-0.48863887786865234,4.9948692321777344e-05,-1.6829266548156738,-6.795313835144043,2.4527311325073242e-05,-2.742649555206299,-1.2834510803222656,2.1010637283325195e-05,0.9158244132995605,1.3666102886199951,4.190206527709961e-05
7,-1.5938711166381836,-0.5509781837463379,3.540515899658203e-05,-2.138949394226074,-6.641417503356934,1.6629695892333984e-05,-2.483893394470215,-1.1758146286010742,1.7881393432617188e-05,0.9450323581695557,1.6845409870147705,3.793835639953613e-05
8,-1.518561840057373,-0.4818754196166992,3.904104232788086e-05,-2.143251895904541,-6.579172134399414,2.047419548034668e-05,-2.3138680458068848,-1.1826047897338867,1.8805265426635742e-05,1.0514106750488281,1.7319300174713135,4.431605339050293e-05
9,-1.6977481842041016,-0.6206545829772949,3.3289194107055664e-05,-2.067272186279297,-6.605504035949707,1.7315149307250977e-05,-2.4984130859375,-1.3526511192321777,1.627206802368164e-05,1.1113247871398926,1.8637075424194336,4.57763671875e-05
